country,year,life_expectancy,pollution,income_inequality,wealth_inequality,GDP,GDP_per_capita,GDP_PPP,global_carbon_budget,greenhouse_gas_emissions,child_mortality,renewable_electricity_capacity,GNI,GNI_per_capita,GNI_PPP,inflation,current_account_pct_GDP,R&D_expenditure_pct_GDP,government_expenditure_pct_GDP,education_pct_government_expenditure,health_pct_government_expenditure,government_effectiveness,income_tax,hours_to_file_taxes,rural_living_pct_popoluation,interest_rates,migration,labour_participation,political_stability,trade_transport_quality,forest_area,forest_depletion_pct_GNI,fertility_rate,mental_health,pedestrian_road_injuries,body_mass_index,unsafe_water,bullying_victimisation,environmental_occupational_risks,alcohol_use_disorders,drug_use,literacy_rate,unemployment
Canada,2000,79.2,53.965614,0.52538216,0.734283,744773415931.587,24271.0020563821,900996986801.064,18.90863,23.921143,0.61,69017.914,725237357753.687,22750.0,877363047705.317,2.71943995691972,2.48322832733606,1.85847997665405,19.1064161806335,5.42331981658936,6.00890827,1.84907865524292,126021000000.0,,20.522,2.81345746384497,201617.0,65.76,1.16752684116364,,38.7929818338782,0.0,1.4937,9.11917725,103.76702,1943.6764,9.964348,40.569,1982.2552,1846.8914,565.3859,99.92051,6.83
Canada,2001,79.5,52.703915,0.516006,0.7332109,738962729044.525,23821.4455867378,937786776176.929,18.027382,30.95369,0.62,68746.56,718160708864.203,23110.0,911387800049.817,2.52512013979907,2.13242480189661,2.02116990089417,19.5093203790186,4.95303010940552,6.27900839,,122455000000.0,,20.19,4.08610585057191,224357.0,65.91,,,38.7876307080739,0.0,1.5104,9.11340143,102.37145,1958.6311,9.235836,41.119175,1925.4823,1848.1986,573.9428,,7.22
Canada,2002,79.6,51.677162,0.51672053,0.73279476,760649334098.005,24255.3385818322,971003788233.131,18.601952,31.311138,0.62,71059.164,741406996750.143,23580.0,946440061399.149,2.25839440940856,1.64503032397307,1.97170996665955,19.7787192119877,4.99308013916016,6.41561842,1.86085593700409,116384000000.0,,20.112,2.93294322270599,206028.0,66.86,1.21803176403046,,38.7822795822695,0.0,1.5037,9.08212848,100.64494,1985.6667,8.706645,41.431545,1900.5107,1850.1167,587.183,,7.66
Canada,2003,79.7,51.423298,0.5182721,0.732944,895540646634.787,28300.4630963791,1023682523002.92,18.24811,31.711489,0.61,72676.07,873515809007.209,25480.0,998506176807.967,2.75856321360112,1.16498813828327,1.96781003475189,19.8962017689692,,6.59055662,1.92467999458313,120839000000.0,,20.033,1.38766286473215,182430.0,67.56,1.05307674407959,,38.7769284564652,0.0,1.5246,9.03992947,98.68167,2001.1765,8.306344,41.663242,1863.9349,1852.697,600.0597,,7.57
Canada,2004,80.0,51.145504,0.5228989,0.73451495,1026690238278.25,32143.6814078562,1083609294356.44,18.301275,31.322397,0.61,73223.13,1004566487317.45,29530.0,1060259016664.75,1.85725871857261,2.26315076447856,1.99733996391296,19.4174844503805,,6.62400055,1.90069770812988,131626000000.0,,19.955,0.710526316374926,193282.0,67.49,0.87644749879837,,38.7715773306609,0.0,1.5281,8.99954079,95.34058,1996.4746,7.9595876,41.983746,1830.6517,1856.5918,612.8675,,7.19
Canada,2005,80.1,49.748238,0.52874994,0.7357195,1173108598778.68,36382.5079164537,1171326187910.13,18.903889,31.451225,0.61,74472.03,1149135996038.95,34310.0,1147390008931.78,2.21355203439764,1.86965618692434,1.97126996517181,19.0759109803014,4.76588010787964,6.59905815,1.88245940208435,140467000000.0,119.0,19.878,1.2545998038229,204710.0,67.14,0.828725039958954,,38.7662262048566,0.0,1.5433,8.968384359999998,93.87886,1999.6472,7.5559897,42.38276,1791.8209,1861.2031,633.9827,,6.76
Canada,2006,80.5,48.32063,0.5332416,0.73701334,1319264809590.97,40504.0607253203,1241594039979.59,17.723745,30.80426,0.59,76092.24,1298296897038.08,37900.0,1221860598242.03,2.00202539534156,1.36365624553912,1.94304001331329,19.2487641773811,,6.4866991,1.89211332798004,151477000000.0,119.0,19.787,3.15742351868095,202483.0,67.02,1.03495657444,,38.7608750790522,0.0,1.5878,9.03742301,90.01155,1980.3373,7.442727,43.233482,1763.9458,1865.6165,651.1548,,6.32
Canada,2007,80.5,45.41875,0.5346661,0.7375096,1468820407783.26,44659.8951408034,1301593351698.17,18.261328,31.512857,0.59,77192.92,1447200446885.76,41550.0,1282434850618.64,2.13838399266843,0.752359497275174,1.90357995033264,19.2505356033619,4.7664098739624,6.57310772,1.75481534004211,162310000000.0,119.0,19.604,2.73610587854163,210817.0,67.44,1.00701069831848,3.95,38.7555239532479,0.0,1.6533,9.226243990000002,89.919846,1991.7893,7.324928,44.68876,1741.4576,1869.1195,676.92773,,6.04
Canada,2008,80.7,41.99527,0.5274539,0.73656046,1552989690721.65,46710.5055759013,1342395839240.43,17.592745,30.436918,0.58,78648.39,1530173383317.71,44940.0,1322673547258.16,2.37027067444294,0.204634001322009,1.85578000545502,19.7194394824506,4.62612009048462,6.70162201,1.78248238563538,161614000000.0,119.0,19.422,0.71354594280614,237962.0,67.56,1.0413726568222,,38.7501728274436,0.0,1.6758,9.456692,86.55332,1992.2917,7.0496984,46.336025,1711.0209,1871.8604,700.3282,,6.14
Canada,2009,81.1,38.50683,0.51634884,0.73227,1374625142157.29,40876.3101540295,1307000908301.48,17.136614,29.057045,0.57,79928.39,1350956171813.49,43230.0,1284496325205.2,0.299466803009284,-2.96628242314574,1.9174200296402,21.9645855050549,4.84057998657227,7.52310753,1.74208331108093,148853000000.0,119.0,19.242,4.82138483954554,240878.0,67.09,1.12707591056824,,38.7448217016393,0.0,1.6652,9.65320465,83.53029,1982.6073,6.7256145,47.792984,1665.7013,1875.093,722.9454,,8.34
