economy,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9661590524535,20.1619433198381,23.5959153902261,21.9724924521972,21.8547341115435,21.4195402984363,24.8419722988295,24.8902241079819,24.4446509390647,22.8866788053061,22.8359748330604,22.3230008475629,21.4144525595569,21.2483204015552,24.8330340013432,26.4651444384815,25.1084551379907,26.1779453788038,26.1933038710376,24.8237406320455,23.2556955609808,23.4875270259162,23.021623543388,23.0710204165153,22.4985522696464,27.4661341170356,21.8486758990837,19.9031682258268
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1092193573017,21.2623843883974,
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1305785372378,21.8542597859949,14.3120629446155,16.0290371753303,15.3417224061598,15.5369347037304,16.8146115372764,19.8985860825078,17.0423458554536,18.2358592210108,17.8426333032037,21.6219487315047,17.9756586545567,16.4328328348133,13.8806850814508,12.9358193168237,10.4745435629873,8.59885628389892,8.75036257383141,7.34579652151057,7.22904417491341
ALB,,,,,,,,,,,,,,,,,,,,,9.3116515041052,8.84353390708875,8.89861279321276,9.09399523742266,9.75153050082957,9.63955140756505,9.61342983715576,9.99617333989332,9.80506206927652,9.13190329724955,19.1885468896252,22.8753325986112,21.4082882933696,14.6384098004022,14.6234019156112,13.8271152568861,9.45360226582805,10.4480085958156,10.8444061031888,11.0555755938989,9.69245349651536,10.625955499078,11.3351367908612,11.0984229894148,11.2058669623781,11.031267292825,10.5272906437808,10.4774392871051,10.3789563199331,11.109434443885,11.1573603733327,10.9741654774939,10.844815956651,11.0254938139466,11.4518682295269,11.1106353102927,11.2693152160404,11.4983976170746,11.2865692132195,11.34698393056,11.8485078488972,11.908412634206,10.1787589198906
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91402351533425,10.146486288123,9.75023354253255,8.74669751420651,7.87259315554192,6.91782205479066,6.73299787689361,7.2968356174588,10.2341429132446,9.68348966796029,9.67287337580077,9.47695082677802,10.7069213444128,10.6423158319379,12.0210761022152,12.1122932563088,13.0457765457496,11.6854197578622,12.2551428299819,14.4501096619387,,
ARG,9.88044509523395,7.78963204832989,12.1923745358372,10.2521949603684,7.22902581011462,8.08948631250583,10.8043385563998,9.73927816603499,9.82935062849218,9.50117537009171,9.74254326207249,10.1462160701663,9.3516969606052,11.5393235681285,13.1532327349931,12.5891776401825,9.42009472768441,9.01540997692467,11.1661116654098,11.0078459559273,,,,,,,,4.7144944990421,4.32191028434568,4.49439596541391,3.13542839161188,3.32176128752774,2.97553802761558,13.5103784728742,13.1869043660659,13.3494556774505,12.5016776609201,12.0620142457633,12.4947749986829,13.7232114149469,13.7841913064131,14.1562743129569,12.235247296692,11.4380567929249,11.114636067696,12.1418612359575,12.4294153726307,12.9893238963619,13.6335132595631,15.903896746884,15.1637178886417,15.6889565165983,16.6454378106252,16.8062377968797,16.9498757371062,18.098379759087,17.6545781863509,17.6968939223042,15.8050971558947,16.4432415862976,16.8730073837365,15.7384909961467,15.3969250454856
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3064997018485,18.5092232400552,18.5466971855959,17.1936819797033,11.5430460348078,11.3229912230238,11.3430091616755,11.4771831087164,11.2920970499034,12.230469548754,10.7986680994975,10.3413384803578,9.16904182303383,9.38479580771821,9.3562321018201,9.71001179777312,9.26564058035311,9.39819198234112,9.39590568718206,12.2837259772012,12.0437077284519,11.9102932556784,10.9099638916146,11.9350654316666,12.0858534859076,13.1115978061212,13.4541585167703,12.3185519874739,11.4866903221706,12.5645600985114,14.9686182373692,13.649850256969,12.699143574047
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,11.0937217841449,11.3178559235234,11.9687429727906,11.6784525790349,11.3688767587408,11.8872073470444,12.8045279304405,12.7736286376513,13.6019719949331,13.0522394895124,13.1689472971142,13.9032002377886,14.4095000785687,14.6085909273384,14.4461747457009,16.7918040839239,17.8768536737534,17.4568360654034,17.8330065297264,17.3623801062728,17.2146613972008,17.8100263852243,17.7394132732845,18.6524613012903,18.3170633546419,19.2471177732011,19.4256076851422,19.3673542795082,18.4590784171155,17.7837214038422,17.641927871607,18.6323349890807,19.4964927906708,19.376391480817,18.8131012770809,18.6412716851603,18.5846429563925,18.2705936245318,18.262337926821,18.7307315614009,18.5380745283503,18.5426391217441,18.3484346536303,18.4107243359548,18.3022813622208,18.3815949567882,18.3072975284743,18.1722516420682,18.0939091867019,18.4307470583246,18.8346809712806,18.6643508516189,18.8968665797827,18.8516011954899,18.7735162015259,19.1821671622353,19.9612884403015,19.9287475460077,19.9898835908156,20.3428951786679,21.8623116621099,22.3867957361311,22.0192172108857
