country,year,living_planet_index_average,living_planet_index_lower,living_planet_index_upper
Africa,1970,1.0,1.0,1.0
Asia and Pacific,1970,1.0,1.0,1.0
Europe and Central Asia,1970,1.0,1.0,1.0
Freshwater,1970,1.0,1.0,1.0
Latin America and the Caribbean,1970,1.0,1.0,1.0
North America,1970,1.0,1.0,1.0
World,1970,1.0,1.0,1.0
Africa,1971,0.9546197,0.87790567,1.049108
Asia and Pacific,1971,1.0371096,0.9847158,1.0973047
Europe and Central Asia,1971,1.0127226,0.98825,1.0395843
Freshwater,1971,0.9829372,0.9456665,1.0247843
Latin America and the Caribbean,1971,1.0100716,0.9841672,1.041106
North America,1971,0.9970049,0.9526554,1.0550579
World,1971,0.99100274,0.97314894,1.0095321
Africa,1972,0.94683415,0.8147984,1.1086783
Asia and Pacific,1972,1.0483867,0.96100694,1.1440424
Europe and Central Asia,1972,1.0328786,0.99027246,1.0800542
Freshwater,1972,0.97189265,0.9116966,1.0387931
Latin America and the Caribbean,1972,0.9952311,0.93648523,1.0614077
North America,1972,0.9818143,0.90619797,1.0823327
World,1972,0.97929883,0.94765395,1.0119308
Africa,1973,0.99181175,0.8190875,1.2087072
Asia and Pacific,1973,1.041134,0.93620443,1.1480968
Europe and Central Asia,1973,1.0562783,1.002073,1.1160477
Freshwater,1973,0.9696878,0.89824086,1.0485407
Latin America and the Caribbean,1973,0.9521223,0.8600033,1.0534184
North America,1973,0.960216,0.8665405,1.0892596
World,1973,0.9678284,0.92663604,1.010056
Africa,1974,0.99384934,0.7714461,1.2787778
Asia and Pacific,1974,1.0498115,0.938733,1.1657597
Europe and Central Asia,1974,1.0757695,1.0118581,1.1459814
Freshwater,1974,0.94197947,0.8550666,1.0364856
Latin America and the Caribbean,1974,0.8955635,0.7694124,1.0356534
North America,1974,0.920816,0.82373613,1.0492986
World,1974,0.9534543,0.9026827,1.0061855
Africa,1975,0.9661808,0.6976196,1.3244863
Asia and Pacific,1975,1.0598036,0.9433209,1.1840523
Europe and Central Asia,1975,1.0868518,1.013882,1.1659801
Freshwater,1975,0.901231,0.797466,1.0142603
Latin America and the Caribbean,1975,0.8339783,0.69007236,0.99913985
North America,1975,0.89986813,0.7993089,1.0311446
World,1975,0.935558,0.87630314,0.99797106
Africa,1976,0.924302,0.6183705,1.3484796
Asia and Pacific,1976,1.0601546,0.9397155,1.1912738
Europe and Central Asia,1976,1.0944718,1.0101938,1.1853101
Freshwater,1976,0.8591758,0.74143595,0.9870903
Latin America and the Caribbean,1976,0.78072804,0.63068044,0.95888287
North America,1976,0.8922585,0.7864761,1.0277493
World,1976,0.9148922,0.8493378,0.98407936
