,index,country,year,population,emissions_total_per_capita,share_pop_using_internet,gdp_per_capita,share_electricity_access,life_expectancy_at_birth,deaths__interpersonal_violence__sex__both__age__all_ages__rate
0,27162,Greenland,1000,1050,,,,,,
1,27163,Greenland,1100,1072,,,,,,
2,27164,Greenland,1200,1093,,,,,,
3,27165,Greenland,1300,1116,,,,,,
4,27166,Greenland,1400,1139,,,,,,
5,27167,Greenland,1500,1162,,,,,,
6,27168,Greenland,1600,1186,,,,,,
7,27169,Greenland,1700,1210,,,,,,
8,27170,Greenland,1710,1361,,,,,,
9,27171,Greenland,1720,1531,,,,,,
10,27172,Greenland,1730,1723,,,,,,
11,27173,Greenland,1740,1938,,,,,,
12,27174,Greenland,1750,2180,,,,,,
13,27175,Greenland,1760,2453,,,,,,
14,27176,Greenland,1770,2760,,,,,,
15,27177,Greenland,1780,3105,,,,,,
16,27178,Greenland,1790,3493,,,,,,
17,27179,Greenland,1800,3930,,,,,,
18,27180,Greenland,1810,4421,,,,,,
19,27181,Greenland,1820,4974,,,,,,
20,27182,Greenland,1830,5595,,,,,,
21,27183,Greenland,1840,6295,,,,,,
22,27184,Greenland,1850,7082,,,,,,
23,81181,Greenland,1851,,,,,,,
24,81182,Greenland,1852,,,,,,,
25,81183,Greenland,1853,,,,,,,
26,81184,Greenland,1854,,,,,,,
27,81185,Greenland,1855,,,,,,,
28,81186,Greenland,1856,,,,,,,
29,81187,Greenland,1857,,,,,,,
30,81188,Greenland,1858,,,,,,,
31,81189,Greenland,1859,,,,,,,
32,27185,Greenland,1860,7967,,,,,,
33,81190,Greenland,1861,,,,,,,
34,81191,Greenland,1862,,,,,,,
35,81192,Greenland,1863,,,,,,,
36,81193,Greenland,1864,,,,,,,
37,81194,Greenland,1865,,,,,,,
38,81195,Greenland,1866,,,,,,,
39,81196,Greenland,1867,,,,,,,
40,81197,Greenland,1868,,,,,,,
41,81198,Greenland,1869,,,,,,,
42,27186,Greenland,1870,8963,,,,,,
43,81199,Greenland,1871,,,,,,,
44,81200,Greenland,1872,,,,,,,
45,81201,Greenland,1873,,,,,,,
46,81202,Greenland,1874,,,,,,,
47,81203,Greenland,1875,,,,,,,
48,81204,Greenland,1876,,,,,,,
49,81205,Greenland,1877,,,,,,,
50,81206,Greenland,1878,,,,,,,
51,81207,Greenland,1879,,,,,,,
52,27187,Greenland,1880,10083,,,,,,
53,81208,Greenland,1881,,,,,,,
54,81209,Greenland,1882,,,,,,,
55,81210,Greenland,1883,,,,,,,
56,81211,Greenland,1884,,,,,,,
57,81212,Greenland,1885,,,,,,,
58,81213,Greenland,1886,,,,,,,
59,81214,Greenland,1887,,,,,,,
60,81215,Greenland,1888,,,,,,,
61,81216,Greenland,1889,,,,,,,
62,27188,Greenland,1890,11344,,,,,,
63,81217,Greenland,1891,,,,,,,
64,81218,Greenland,1892,,,,,,,
65,81219,Greenland,1893,,,,,,,
66,81220,Greenland,1894,,,,,,,
67,81221,Greenland,1895,,,,,,,
68,81222,Greenland,1896,,,,,,,
69,81223,Greenland,1897,,,,,,,
70,81224,Greenland,1898,,,,,,,
71,81225,Greenland,1899,,,,,,,
72,27189,Greenland,1900,12762,,,,,,
73,81226,Greenland,1901,,,,,,,
74,81227,Greenland,1902,,,,,,,
75,81228,Greenland,1903,,,,,,,
76,81229,Greenland,1904,,,,,,,
77,81230,Greenland,1905,,,,,,,
78,81231,Greenland,1906,,,,,,,
79,81232,Greenland,1907,,,,,,,
80,81233,Greenland,1908,,,,,,,
81,81234,Greenland,1909,,,,,,,
82,27190,Greenland,1910,14357,,,,,,
83,81235,Greenland,1911,,,,,,,
84,81236,Greenland,1912,,,,,,,
85,81237,Greenland,1913,,,,,,,
86,81238,Greenland,1914,,,,,,,
87,81239,Greenland,1915,,,,,,,
88,81240,Greenland,1916,,,,,,,
89,81241,Greenland,1917,,,,,,,
90,81242,Greenland,1918,,,,,,,
91,81243,Greenland,1919,,,,,,,
92,27191,Greenland,1920,16152,,,,,,
93,81244,Greenland,1921,,,,,,,
94,81245,Greenland,1922,,,,,,,
95,81246,Greenland,1923,,,,,,,
96,81247,Greenland,1924,,,,,,,
97,81248,Greenland,1925,,,,,,,
98,81249,Greenland,1926,,,,,,,
99,81250,Greenland,1927,,,,,,,
100,81251,Greenland,1928,,,,,,,
101,81252,Greenland,1929,,,,,,,
102,27192,Greenland,1930,18171,,,,,,
103,81253,Greenland,1931,,,,,,,
104,81254,Greenland,1932,,,,,,,
105,81255,Greenland,1933,,,,,,,
106,81256,Greenland,1934,,,,,,,
107,81257,Greenland,1935,,,,,,,
108,81258,Greenland,1936,,,,,,,
109,81259,Greenland,1937,,,,,,,
110,81260,Greenland,1938,,,,,,,
111,81261,Greenland,1939,,,,,,,
112,27193,Greenland,1940,20442,,,,,,
113,81262,Greenland,1941,,,,,,,
114,81263,Greenland,1942,,,,,,,
115,81264,Greenland,1943,,,,,,,
116,81265,Greenland,1944,,,,,,,
117,81266,Greenland,1945,,,,,,,
118,81267,Greenland,1946,,,,,,,
119,81268,Greenland,1947,,,,,,,
120,81269,Greenland,1948,,,,,,,
121,81270,Greenland,1949,,,,,,,
122,27194,Greenland,1950,23142,4.274825,,,,45.8721,
123,27195,Greenland,1951,23622,4.18796,,,,46.2657,
124,27196,Greenland,1952,24248,4.382052,,,,46.8038,
125,27197,Greenland,1953,24887,4.85844,,,,46.8118,
126,27198,Greenland,1954,25579,4.01079,,,,48.829,
127,27199,Greenland,1955,26322,7.9343514,,,,50.4627,
128,27200,Greenland,1956,27230,5.2477417,,,,52.8318,
129,27201,Greenland,1957,28331,5.690445,,,,55.5611,
130,27202,Greenland,1958,29512,7.697479,,,,57.0442,
131,27203,Greenland,1959,30788,7.616474,,,,58.7067,
