country,year,scenario_type,plastic_type,value
World,2019,Baseline,Macroplastics,19378000.0
World,2019,Baseline,Microplastics,2684000.0
World,2019,Baseline,Total,22062000.0
World,2019,Global ambition policy,Macroplastics,19397000.0
World,2019,Global ambition policy,Microplastics,2684000.0
World,2019,Global ambition policy,Total,22081000.0
World,2019,Regional action policy,Macroplastics,19397000.0
World,2019,Regional action policy,Microplastics,2684000.0
World,2019,Regional action policy,Total,22081000.0
World,2020,Baseline,Macroplastics,19702000.0
World,2020,Baseline,Microplastics,2704000.0
World,2020,Baseline,Total,22406000.0
World,2020,Global ambition policy,Macroplastics,19512000.0
World,2020,Global ambition policy,Microplastics,2704000.0
World,2020,Global ambition policy,Total,22216000.0
World,2020,Regional action policy,Macroplastics,19633000.0
World,2020,Regional action policy,Microplastics,2704000.0
World,2020,Regional action policy,Total,22337000.0
World,2021,Baseline,Macroplastics,19991000.0
World,2021,Baseline,Microplastics,2771000.0
World,2021,Baseline,Total,22762000.0
World,2021,Global ambition policy,Macroplastics,19579000.0
World,2021,Global ambition policy,Microplastics,2771000.0
World,2021,Global ambition policy,Total,22350000.0
World,2021,Regional action policy,Macroplastics,19822000.0
World,2021,Regional action policy,Microplastics,2771000.0
World,2021,Regional action policy,Total,22593000.0
World,2022,Baseline,Macroplastics,20329000.0
World,2022,Baseline,Microplastics,2841000.0
World,2022,Baseline,Total,23170000.0
World,2022,Global ambition policy,Macroplastics,19270000.0
World,2022,Global ambition policy,Microplastics,2834000.0
World,2022,Global ambition policy,Total,22104000.0
World,2022,Regional action policy,Macroplastics,19829000.0
World,2022,Regional action policy,Microplastics,2840000.0
World,2022,Regional action policy,Total,22669000.0
World,2023,Baseline,Macroplastics,20619000.0
World,2023,Baseline,Microplastics,2910000.0
World,2023,Baseline,Total,23529000.0
World,2023,Global ambition policy,Macroplastics,18735000.0
World,2023,Global ambition policy,Microplastics,2887000.0
World,2023,Global ambition policy,Total,21621000.0
World,2023,Regional action policy,Macroplastics,19757000.0
World,2023,Regional action policy,Microplastics,2905000.0
World,2023,Regional action policy,Total,22662000.0
World,2024,Baseline,Macroplastics,20901000.0
World,2024,Baseline,Microplastics,2976000.0
World,2024,Baseline,Total,23877000.0
World,2024,Global ambition policy,Macroplastics,18363000.0
World,2024,Global ambition policy,Microplastics,2937000.0
World,2024,Global ambition policy,Total,21301000.0
World,2024,Regional action policy,Macroplastics,19778000.0
World,2024,Regional action policy,Microplastics,2969000.0
World,2024,Regional action policy,Total,22747000.0
World,2025,Baseline,Macroplastics,21197000.0
World,2025,Baseline,Microplastics,3040000.0
World,2025,Baseline,Total,24238000.0
World,2025,Global ambition policy,Macroplastics,17991000.0
World,2025,Global ambition policy,Microplastics,2986000.0
World,2025,Global ambition policy,Total,20977000.0
World,2025,Regional action policy,Macroplastics,19786000.0
World,2025,Regional action policy,Microplastics,3030000.0
World,2025,Regional action policy,Total,22816000.0
