country,year,wind,solar,biofuels,biomass_and_waste,small_hydro,geothermal,marine
World,2004,18.9,10.7,3.9,7.9,2.8,1.1,0.0
World,2005,27.3,15.3,9.8,9.3,7.4,0.8,0.1
World,2006,36.3,21.5,26.2,12.0,6.8,1.3,0.1
World,2007,59.1,37.5,26.4,15.9,6.4,1.7,0.7
World,2008,73.9,60.3,17.6,16.2,7.6,1.7,0.2
World,2009,73.3,63.4,9.4,13.4,5.9,2.5,0.3
World,2010,98.3,101.7,10.1,17.3,8.2,2.8,0.3
World,2011,84.7,158.8,10.4,20.9,7.7,3.8,0.3
World,2012,77.9,142.9,7.7,15.4,6.3,1.7,0.3
World,2013,83.2,121.4,5.1,14.6,5.7,2.7,0.2
World,2014,110.7,148.0,5.5,12.9,7.4,2.9,0.4
World,2015,121.5,176.2,3.6,10.3,4.0,2.5,0.2
World,2016,124.9,146.3,2.1,13.6,4.4,2.7,0.2
World,2017,129.7,180.0,3.2,5.7,3.8,2.3,0.2
World,2018,131.5,141.1,3.0,9.3,0.9,2.3,0.2
